judul,dosen
"Akibat Hukum Jual-Beli Rumah Yang Masih Dalam Proses Kredit Pemilikan Rumah (Studi Di Pt.Btn (Persero) Tbk, Kantor Cabang Medan Pemuda)","Faisal,S.H.,M.H"
Akibat Hukum Kepemilikan Tanah Absentee Di Kabupaten Langkat (Studi Di Kantor Badan Pertanahan Nasional Kabupaten Langkat),"Dr.Ida Nadirah,S.H.,M.H"
Akibat Hukum Mbaba Belo Selambar Yang Dibatalkan Oleh Calon Suami Atau Istri Dalam Hukum Adat Karo (Studi di Lembaga Adat dan Budaya Karo),"Dr.H.Surya Perdana,S.H.,M.Hum"
Akibat Hukum Memberikan Wasiat Kepada Salah Satu Dari Ahli Waris Menurut Kompilasi Hukum Islam (Studi Kasus di Desa Sale Baru Kecamatan Muara Batang Gadis Kabupaten Mandailing Natal Sumatera Utara),"Dra.Salmi Abbas, MA"
Akibat Hukum Meninggalnya Pemegang Polis Terhadap Proteksi Tertanggung Sebelum Berakhirnya Jangka Waktu Perjanjian Asuransi (Studi Pada Pt. Asuransi Allianz Life Syariah Cabang Medan),"Atikah, SH., M.H"
Akibat Hukum Menjual Objek Jaminan Fidusia Oleh Dibitur Kepada Pihak Ketiga Dalam Perjanjian Pembiayaan Konsumen (Studi Di PT. Astra Sedaya Finance Medan),"Nurul Hakim,S.Ag.,M.A"
Akibat Hukum Merek Cap Kaki Tiga Yang Masih Beredar Di Pasaran Setelah Adanya Pembatalan (Studi Putusan Mahkamah Agung Nomor 85 PK/Pdt.Sus-HKI/2015),"Dr.Ida Nadirah,S.H.,M.H"
AKIBAT HUKUM MUCIKARI YANG MELAKUKAN PERDAGANGAN ORANG (Studi di Polrestabes Medan),"Rabiah Z. Harahap, S.H.,M.H"
Akibat Hukum Pelaksanaan Pengangkatan Anak Dalam Masyarakat Adat Melayu di Kota,"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
Akibat Hukum Pelaksanaan Perjanjian Pemasangan Iklan Yang Terlambat Diterbitkan (Studi Di Ukm-Lpm Teropong UMSU),"Syofiaty Lubis,S.H.,M.H"
Akibat Hukum Pelanggaran Terhadap Hak Langgeh Dalam Proses Jual Beli Tanah Di Desa Paya Bujok Tunong Kecamatan Langsa Baro,"Zainuddin, S.H., M.H"
Akibat Hukum Pelelangan Objek Jaminan Gadai Emas Oleh Kreditur Tanpa Adanya Peringatan Terhadap Debitur (Studi di Pegadaian Kantor Wilayah I Medan),"Dr.Ramlan,S.H.,M.H"
Akibat Hukum Pembagian Harta Warisan Terhadap Ahli Waris Yang Berbeda Agama (Analisis Putusan Nomor. 2554/Pdt.G/2011/PA.JS),"Nursariani Simatupang,S.H.,M.Hum"
Akibat Hukum Pembatalan Jual Beli Saham Di Perseroan Terbatas Tertutup,"Mirsa Astuti,S.H.,M.H"
Akibat Hukum Pembatalan Jual Beli Saham Di Perseroan Terbatas Tertutup (Analisis Putusan Nomor 45/Pdt/2014/PTR).,"Mirsa Astuti,S.H.,M.H"
Akibat Hukum Pembatalan Pengangkatan Anak Tanpa Persetujuan Ibu Kandung (Analisis Putusan Mahkamah Agung RI No. 1353 K/Pdt/2009),"Nurul Hakim,S.Ag.,M.A"
Akibat Hukum Pembatalan Pengangkatan Anak Tanpa Persetujuan Ibu Kandung (Analisis Putusan Mahkamah Agung RI No. 1353 K/Pdt/2009),"Dr. Surya Perdana,S.H.,M.Hum"
Akibat Hukum Pembatalan Perjanjian Sepihak Perbaikan dan Pengedockan Kapal Tongkang Keruk Cipta Jaya (Studi Putusan Nomor:256/Pdt.G/2016/PN Mdn),"Dr.Ida Nadirah,S.H.,M.H"
Akibat Hukum Pembatalan Perjanjian Sewa Aset PT. Kereta Api Indonesia,"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
Akibat Hukum Pembatalan Sepihak Perjanjian Sewa Menyewa Tanah ( Studi Putusan Mahkamah Agung No 2897 K/PDT/2016),"Dr.Lilawati Ginting S.H.,MK.n"
Akibat Hukum Pemberhentian Kepala Desa Dalam Sistem Pemerintahan Desa (Studi di Dinas Pemberdayaan Masyarakat Dan Desa Kabupaten Padang Lawas Utara),"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
AKIBAT HUKUM PENCABUTAN GUGATAN DALAM SENGKETA PERKARA PERDATA (Analisis Putusan Nomor: 38/Pdt.G/2023/PN.Cjr),"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
Akibat Hukum Pengalihan Harta Melalui Surat Wasiat Terhadap Hak Istri,"Atikah, SH., M.H"
Akibat Hukum Pengangkatan Anak Lebih Dari Satu Secara Bersamaan Terhadap Pasangan Suami Isteri Yang Beragama Islam (Analisis Penetapan Nomor 27/Pdt.P/2015/Pn.Bj),"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
Akibat Hukum Penyedia Jasa Konstruksi Yang Melakukan Subkontrak Jasa Konstruksi,"dr.Guntur Rambey,S.H.,MH"
Akibat Hukum Peralihan Kewenangan Pengawasan Muatan Lebih Dari Pemerintah Provinsi Suma Kementerian Perhubungan (Studi Kasus Balai Pengelola Transportasi Darat Wilayah II Provinsi Sumatera Utara),"Muklis,S.H.,M.H"
AKIBAT HUKUM PERBUATAN WANPRESTASI OLEH DEBITUR STUDI NASABAH YANG TIDAK MELUNASI KREDIT DI BANK SYARIAH INDONESIA CABANG TAKENGON,"Asliani Harahap,S.H.,M.H"
Akibat Hukum Perceraian Di Pengadilan Negeri Menurut Hukum Gereja (Analisis Terhadap Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan),"Dra.Salmi Abbas, MA"
Akibat Hukum Perceraian Pada Perkawinan Impal Menurut Adat Karo (Studi Di Desa Budaya Lingga Kecamatan Simpang Empat Kabanjahe),"Mirsa Astuti,S.H.,M.H"
Akibat Hukum Perceraian terhadap Perseroan Terbatas yang Didirikan Suami Istri,"Dr.Ida Nadirah,S.H.,M.H"
AKIBAT HUKUM PERDATA DARI PENGGUNAAN ASET CRYPTO SEBAGAI JAMINAN GADAI,"Dr.MHD Teguh Syuhada Lubis S.H.,M.H"
Akibat Hukum Perikatan Jual Beli Tanah Dengan Sistem Pembayaran Cicilan (Analisis Putusan Nomor 5/PDT.G/2015/PN.Tjk),"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
AKIBAT HUKUM PERJANJIAN JUAL BELI SECARA ONLINE PADA TOKO DI SHOPEE YANG MENGANDUNG UNSUR EKSONERASI,"dr.Guntur Rambey,S.H.,MH"
Akibat Hukum Perjanjian Kerja Secara Lisan Menurut Perspektif Hukum Ketenagakerjaan,"Dr.Ida Nadirah,S.H.,M.H"
AKIBAT HUKUM PERJANJIAN SEWA MENYEWA RUMAH TOKO KEPADA PIHAK LAIN TANPA SEPENGETAHUAN PEMILIK BERDASARKAN ASAS PACTA SUNT SERVANDA,"Dr.MHD Teguh Syuhada Lubis S.H.,M.H"
AKIBAT HUKUM PERJANJIAN TERTUTUP YANG DILAKUKAN PELAKU USAHA YANG MENYEBABKAN PERSAINGAN USAHA TIDAK SEHAT (Studi Putusan No. 22/KPPU-I/2016),"Dr.Ida Nadirah,S.H.,M.H"
Akibat Hukum Perkawinan Beda Agama Yang Dilangsungkan Di Luar Indonesia,"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
Akibat Hukum Perkawinan Sesama Penderita Penyakit HIV/AIDS (Suatu Kajian Dalam Perspektif Hukum Perkawinan Nasional Dan Fatwa MUI Tahun 1997),"Asliani Harahap,S.H.,M.H"
Akibat Hukum Perpisahan Meja Dan Ranjang Terhadap Harta Bersama Menurut Kitab Undang-Undang Hukum Perdata,"Atikah, SH., M.H"
Akibat Hukum Perusahaan Yang Melakukan Kartel Dalam Pengaturan Produksi Bibit Ayam Pedaging (Broiler) (Analisis Putusan KPPU Nomor 02/KPPU-I/2016),"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
AKIBAT HUKUM PINJAMAN KREDIT MACET DENGAN JAMINAN SURAT KEPUTUSAN PEGAWAI NEGERI SIPIL (Studi Di Bank Mandiri Kantor Cabang Medan Balai Kota),"Lailatus Sururiyah,S.H.,M.A."
Akibat Hukum Pinjaman Macet Anggota Koperasi Yang Dilakukan Tanpa Pengikatan Jaminan (Studi Pada Kopdit. CU Harapan Kita Cabang Medan),"Harisman, S.H.,M.H"
AKIBAT HUKUM RESIKO MEDIK DALAM PELAYANAN MEDIS TERHADAP PASIEN OLEH TENAGA KESEHATAN (Analisis Putusan Nomor 13/Pdt.G/2020/PN Mrt),"Irfan,S.H.,M.Hum"
Akibat Hukum Salah Penetapan Status DPO Oleh Penyidik (Studi Putusan No. 20/Pra.Per/2015/PN.SBY),"Nursariani Simatupang,S.H.,M.Hum"
Akibat Hukum Sertifikasi Halal Terhadap Rumah Makan Di Kota Medan (Studi Di LPPOM MUI Sumatera Utara),"Faisal,S.H.,M.H"
AKIBAT HUKUM SUAMI MENINGGALKAN ISTRI ANALISIS PUTUSAN NOMOR 1520/Pdt.G/2013/PA.Kra,"Irfan,S.H.,M.Hum"
Akibat Hukum Terbitnya Sertifikat Hak Milik Atas Tanah Yang Bersifat Ganda (Studi Pada Kantor Pertanahan Kota Medan),"Faisal,S.H.,M.H"
AKIBAT HUKUM TERHADAP AGUNAN RUMAH PADA KREDIT PEMILIKAN RUMAH (KPR) BERMASALAH DI BANK SYARIAH YANG DIDASARI AKAD MURABAHAH,"Dr.Andryan,S.H.,M.H"
Akibat Hukum Terhadap Akta Jual Beli Hak Milik Yang Dibuat Dihadapan PPAT Tanpa Mencantumkan Harga (Analisis Putusan No.22Pdt.G2016Pn.Sbg),"Irfan,S.H.,M.Hum"
AKIBAT HUKUM TERHADAP AKTA YANG DIBUAT NOTARIS RANGKAP JABATAN,"Mhd.Nadir Sitompul,S.H.,M.H"
Akibat Hukum Terhadap Debitur Yang Melakukan Wanprestasi Dalam Perjanjian Kredit Atas Dasar Jaminan Surat Perintah Kerja (Studi pada PT. Bank Sumut Kordinator Cabang Medan),"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
Akibat Hukum Terhadap Debitur Yang Melakukan Wanprestasi Dalam Perjanjian Kredit Multi Guna (Studi Di Bank Sumut),"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
Akibat Hukum Terhadap Debitur Yang Wanprestasi dalam Perjanjian Kredit Dengan Jaminan Hak Tanggungan (Studi Pada Bank BRI Cabang Kutacane),"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
AKIBAT HUKUM TERHADAP MEDIA E-COMMERCE DALAM TRANSAKSI JUAL BELI MINUMAN BERALKOHOL DENGAN ANAK SEBAGAI KONSUMEN,"Dr.MHD Teguh Syuhada Lubis S.H.,M.H"
Akibat Hukum Terhadap Pejabat Tata Usaha Negara Yang Tidak Melaksanakan Pembatalan Surat Izin Mendirikan Bangunan (Studi Putusan Mahkamah Agung Nomor 274 K/TUN/2016),"Dr.Surya Perdana,S.H.,M.Hum"
Akibat Hukum Terhadap Pengalihan Objek Perjanjian Leasing Kepada Pihak Ketiga Tanpa Persetujuan Lessor (Studi Di PT. Astra Credit Companies),"Dr.Ida Nadirah,S.H.,M.H"
Akibat Hukum Terhadap Pengendara Yang Menggunakan Alat Komunikasi Saat Berkendaraan,"Rabiah Z. Harahap, S.H.,M.H"
Akibat Hukum Terhadap Perbuatan Menjaminkan Kebendaan Orang Lain Sebagai Agunan Hutang Analisis Putusan Mahkamah Agung No. 1803k/Pdt/2009,"Dr.Ida Nadirah,S.H.,M.H"
Akibat Hukum Terhadap Peredaran Obat Non Halal (Studi Di Badan Pengawasan Obat dan Makanan di Medan),"Mirsa Astuti,S.H.,M.H"
Akibat Hukum Terhadap Perjanjian Asuransi Karena Pemegang Polis Meninggal (Studi Pada PT. Asuransi Allianz Life Syariah Cabang Medan),"Faisal,S.H.,M.H"
Akibat Hukum Terhadap Perjanjian Lisan Jual Beli Buah Kelapa Sawit (Studi di Desa Gunung Selamat),"Faisal,S.H.,M.H"
Akibat Hukum Terhadap Perkawinan Bujul Suku Alas di Aceh Tenggara,"Rizka Syafrina, S.H.M.Kn"
Akibat Hukum Terhadap Permohonan Kepailitan Perusahaan Modal Ventura Tanpa Izin Otoritas Jasa Keuangan ( Studi Putusan No: 302K/Pdt.Sus-Pailit/2015 ),"Dr.Ida Nadirah,S.H.,M.H"
Akibat Hukum Terhadap Perubahan Status Hukum Tanah Ulayat (Studi di Kecamatan Sidikalang Kabupaten Dairi),"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
Akibat Hukum Terhadap Perusahaan Yang Melakukan Perjanjian Kerja Secara Lisan,"Dr.Ida Nadirah,S.H.,M.H"
Akibat Hukum Terhadap Perusahaan Yang Menayangkan Siaran Langsung Sepak Bola Piala Dunia Secara Komersial Tanpa Izin Lisensi (Analisis Putusan Nomor. 76K/Pdt.Sus-HKI/2017),"Dr.Ida Nadirah,S.H.,M.H"
Akibat Hukum Terhadap Produk Elektronik Yang Dipasarkan Tidak Mencantumkan Petunjuk Penggunaan Barang Dalam Bahasa Indonesia,"Mirsa Astuti,S.H.,M.H"
Akibat Hukum Terhadap Suku Minangkabau Yang Beragama Islam Membagikan Warisan Secara Adat Minangkabau,"Irfan,S.H.,M.Hum"
Akibat Hukum Terhadap Tindakan Memasukkan Zat Berbahaya Pada Produk Obat Kuat Dan Komestik,"Nurhilmiyah,S.H.,M.Hum"
Akibat Hukum Terhadap Tindakan Mutasi Sepihak Dalam Perjanjian Kerja (Studi Putusan No. 272/Pdt.Sus-Phi/2018/Pn.Mdn),"Nurhilmiyah,S.H.,M.Hum"
AKIBAT HUKUM TERHADAP TINDAKAN PENGURUS YAYASAN YANG MENGALIHKAN KEKAYAAN YAYASAN MENURUT UNDANG-UNDANG NOMOR 28 TAHUN 2004 TENTANG YAYASAN,"Dr.Bisdan Sigalingging,S.H.,M.H"
Akibat Hukum Terhadap Wasiat Tanpa Akta Notaris,"Dr. Ahmad fauzi,S.H.,M.Kn"
Akibat Hukum Tidak Mencantumkan Label Bahasa Indonesia Pada Barang Elektronik Bagi Pelaku Usaha (Studi Di Dinas Perindustrian Dan Perdagangan Kota Medan).,"Mirsa Astuti,S.H.,M.H"
Akibat Hukum Tidak Sah Bilyet Giro dan Cek dalam Proses Sistem Kliring Elektronik di Bank Indonesia Perwakilan Medan,"Dr.Ida Nadirah,S.H.,M.H"
Akibat Hukum Wanprestasi Dalam Jual Beli Tiket Konser Coldplay Secara Online,"Faisal,S.H.,M.H"
Akibat Hukum Wanprestasi Dalam Pembayaran Biaya Perawatan Dan Pengobatan Pasien (Analisis Putusan Pengadilan Negeri Jakarta Pusat Nomor: 611/Pdt.G/2015/PN Jkt Pst),"Mirsa Astuti,S.H.,M.H"
AKIBAT HUKUM WANPRESTASI DALAM PERJANJIAN JUAL BELI SEPEDA MOTOR DENGAN SISTEM INDEN,"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
AKIBAT HUKUM WANPRESTASI DALAM USAHA RENTAL MOBIL YANG MENGAKIBATKAN KERUGIAN BAGI PEMILIK USAHA (Studi Kasus M’Boy Speed Rent Cars Tanjung Balai),"Mirsa Astuti,S.H.,M.H"
Akibat Hukum Wanprestasi Terhadap Pengguna Shopee Paylater Yang Gagal Bayar Pada Aplikasi Shopee,"Padian Adi Salamat Siregar,S.H.,M.H"
AKIBAT HUKUM YANG TIMBUL ATAS TINDAKAN PENYELENGGARAAN SATUAN PENDIDIKAN TINGGI TANPA IZIN DI INDONESIA (Studi Putusan Nomor 130/Pid.Sus/2016/PN-TBK),"Nurul Hakim,S.Ag.,M.A"
Akibat Penghapusan Hak Paten Bagi Pemegang Lisensi Menurut Undang-Undang Nomor 13 Tahun 2016 Tentang Paten,"Dr.Ida Nadirah,S.H.,M.H"
Akibat Perceraian Terhadap Harta Bersama Dari Perkawinan Campuran,"Isnina,S.H.,M.H"
AKIBAT TERHADAP PERJANJIAN TRANSAKSI JUAL BELI TIDAK SESUAI DENGAN YANG DIPERJANJIKAN DI E-COMMERCE PERSPEKTIF KUH PERDATA DAN UU NOMOR 19 TAHUN 2016,"Nurul Hakim,S.Ag.,M.A"
AKIBATHUKUMTERHADAP AGUNANRUMAHDARIKREDIT BERMASALAH PADA BANK SYARIAH INDONESIA (Studi Kasus Pada KCP BSI Marelan),"Dr.Ida Nadirah,S.H.,M.H"
AKIBAT HUKUM TERJADINYA WANPRESTASI DALAM PERJANJIAN JUAL BELI PIPA BAJA SISTEM INDENT DI CV.VETHA TIMUR,"Dr.Lilawati Ginting S.H.,MK.n"
AKTUALISASI KEDUDUKAN GUGATAN PIHAK INTERVENSI DALAM HUKUM ACARA PERDATA (Studi di Pengadilan Negeri Medan),"Taufik Hidayat Lubis,S.S.,S.H.,M.H"
AKUNTABILITAS PUBLIK TERHADAP PENYELENGGARA NEGARA SEBAGAI CALON PRESIDEN DAN ATAU WAKIL PRESIDEN,"Dr.Surya Perdana,S.H.,M.Hum"
ALASAN IHWAL KEGENTINGAN MEMAKSA DALAM PEMBENTUKAN PERATURAN PEMERINTAH PENGGANTI UNDANG-UNDANG,"Benito Ashdie Kodiyat MS.,S.H.,M.H"
Alasan Tidak Diterimanya Gugatan Dalam Perkara Perceraian Karena Tidak Ada Akta Perkawinan (Studi Putusan Nomor 381/Pdt.G/2014/Pn.Mdn),"Rabiah Z. Harahap, S.H.,M.H"
Alih Fungsi Hutan Tanaman Industri Menjadi Lahan Perkebunan Berdasrkan Undang-Undang Nomor 41 Tahun 1999 (Studi Pada Dinas Kehutanan Dan Perkebunan Kabupaten Labuhan Batu Selatan),"Burhanuddin, S.H.,M.H"
Analisis Hukum Terhadap Perbuatan Wanprestasi Dalam Perjanjian Sewa Menyewa Bangunan Ruko (Analisis Putusan No. 130/Pdt.G/2023/Pn.Mdn),"Dr.Ismail Koto,S.H.,MH"
ANALISIS HUKUM PENERAPAN ASAS KEBEBASAN BERKONTRAK DALAM PERJANJIAN ENDORSEMENT YANG DILAKUKAN MELALUI MEDIA SOSIAL,"Dr.Ida Nadirah,S.H.,M.H"
Analisis Hukum Terhadap Anggota TNI Pengguna Narkotika (Studi Putusan No. 9K/MIL.2018),"Asliani Harahap,S.H.,M.H"
Analisis Hukum Terhadap Perjanjian Pemborongan Pekerjaan Lanjutan Rehab Kantor Badan Lingkungan Hidup Kota Binjai (Studi Pada Cv. Kurnia),"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
Analisis Putusan Nomor 67/K/Mil/2021 Tentang Pelaku Pencabulan Sesama Jenis Dalam Instansi Kemiliteran,"Muklis,S.H.,M.H"
Analisis Akad Wadiah Dalam Tabungan Bni Dollar Islamic Banking Hasanah (Studi Kasus Di Bank Bni Syariah Kantor Cabang Medan),"Faisal,S.H.,M.H"
Analisis Efektivitas Penerimaan Pajak Daerah Dalam Meningkatkan Pendapatan Asli Daerah Pemerintah Kota Padang Sidempuan,"Dr.Ida Nadirah,S.H.,M.H"
Analisis Fungsi Mukim Dalam Pengawasan Ekologi Dan Sumber Daya Alam Berdasarkan Qanun No 8 Tahun 2009 Di Kabupaten Bener Meriah,"Dr. Eka N.A.M Sihombing, S.H.,M.Hum"
ANALISIS GANTI KERUGIAN KORBAN KEKERASAN SEKSUAL DALAM PERSPEKTIF UNDANG-UNDANG TINDAK PIDANA KEKERASAN SEKSUAL,"Dr.Surya Perdana,S.H.,M.Hum"
ANALISIS HAK RETENSI TERHADAP BENDA GADAI MILIK DEBITUR OLEH PT. PEGADAIAN AKIBAT WANPRESTASI (STUDI DI PT. PEGADAIAN CABANG PANGKALAN BRANDAN),"Dr.R.Juli Moertiono,S.H.,M.Kn.,M.H."
Analisis Hukum Terhadap Perjanjian Kredit Briguna Dengan Perusahaan Minyak Kelapa Sawit (Studi Di Bank Rakyat Indonesia Unit Serdang),"Dr.Ida Nadirah,S.H.,M.H"
Analisis Hukum Adat Gayo Terhadap Kedudukan Ahli Waris Pengganti (Studi Ketua Majelis Adat di Kabupaten Aceh Tengah),"Rabiah Z. Harahap, S.H.,M.H"
Analisis Hukum Atas Hak Kepemilikan Tanah Di Daerah Pinggiran Sungai Batang Gadis (Studi Di Badan Pertanahan Nasional Kabupaten Mandailing Natal),"Dr. Ahmad fauzi,S.H.,M.Kn"
ANALISIS HUKUM ATAS IMPLEMENTASI PRINSIP GOOD CORPORATE GOVERNANCE PADA PT PERKEBUNAN NUSANTARA IV (PERSERO) MEDAN DI MASA PANDEMI COVID-19,"Nurhilmiyah,S.H.,M.Hum"
Analisis Hukum Atas Penolakan Klaim Asuransi Jiwa (Studi AJB Bumi Putra 1912),"dr.Guntur Rambey,S.H.,MH"
ANALISIS HUKUM BISNIS PERIKANAN ANTARA PELAKU USAHA DENGAN NELAYAN,"Dr.Faisal,S.H.,M.Hum"
ANALISIS HUKUM DALAM PEMBERIAN DAN PENGELOLAAN MODAL VENTURA TERHADAP PERUSAHAAN STARTUP,"Dr.Lilawati Ginting S.H.,MK.n"
Analisis Hukum Hak Kekayaan Intelektual Sebagai Objek Wakaf (Studi Kantor Badan Wakaf Indonesia Kota Medan),"Dr.Ramlan,S.H.,M.H"
Analisis Hukum Islam Terhadap Pasal 173 B Kompilasi Hukum Islam Tentang Fitnah Sebagai Penghalang Mewarisi,"Dra.Salmi Abbas, MA"
Analisis Hukum Jaminan Terhadap Produk Elektronik Yang Tidak Disertai Kartu Garansi (Penelitian di Pasar Pusat Pasar Kota Medan),"Irfan,S.H.,M.Hum"
ANALISIS HUKUM JUAL BELI HAK ATAS TANAH YANG MASIH DALAM OBJEK JAMINAN UTANG (Studi Putusan 26/Pdt.G/2021/PN Mdn),"Rahmat Ramadhani,S.H.,M.H"
Analisis Hukum Keterlibatan Korporasi Atas Pelanggaran Berat Hak Asasi Manusia (Studi Kasus Etnis Rohingnya di Myanmar 2019).,"Harisman, S.H.,M.H"
Analisis Hukum Klausula Baku Dalam Buku Perjanjian Sistem Perdagangan Alternatif (Spa) Pt. Rifan Financindo Berjangka,"Faisal,S.H.,M.H"
ANALISIS HUKUM KONTRAK KERJA PEGAWAI PADA PT.PERKEBUNAN NUSANTARA IV REGIONAL I (Studi Kasus Implementasi Pasal-Pasal Dalam Kontrak Kerja ),"Nurhilmiyah,S.H.,M.Hum"
ANALISIS HUKUM MENCELAKAI PEWARIS SEBAGAI PENYEBAB GUGURNYA HAK WARIS (Studi Komparatif Kompilasi Hukum Islam dan Hukum Perdata),"Dr.farid Wajdi,S.H.,M.H"
Analisis Hukum Mengenai Pembentukan Desa Benteng di Kabupaten Batu Bara. ( Study di Kabupaten Batu Bara ),"Muklis,S.H.,M.H"
ANALISIS HUKUM NATURALISASI PEMAIN SEPAK BOLA ASING DALAM PERSPEKTIF LEX SPORTIVA DAN KEWARGANEGARAAN,"Dr.R.Juli Moertiono,S.H.,M.Kn.,M.H."
ANALISIS HUKUM PELAKSANAAN PEMBAGIAN HARTA WARISAN PADA MASYARAKAT MUSLIM ADAT GAYO,"Atikah, SH., M.H"
Analisis Hukum Pelaksanaan Pemilihan Kepala Desa (Studi Di Desa Simodong Kecamatan Sei Suka Kabupaten Batubara),"Dr.Surya Perdana,S.H.,M.Hum"
ANALISIS HUKUM PELAKSANAAN PENYIDIKAN TINDAK PIDANA PASAR MODAL OLEH OTORITAS JASA KEUANGAN (Studi di Kantor Otoritas Jasa Keuangan),"Faisal,S.H.,M.H"
ANALISIS HUKUM PELAKSANAAN TANGGUNG JAWAB SOSIAL DAN LINGKUNGAN PADA PT PERKEBUNAN NUSANTARA IV REGIONAL I,"Rahmat Ramadhani,S.H.,M.H"
ANALISIS HUKUM PEMAKSAAN STERILISASI TERHADAP PEREMPUAN MENURUT UNDANG UNDANG TINDAK PIDANA KEKERASAN SEKSUAL (TPKS),"Atikah, SH., M.H"
ANALISIS HUKUM PEMBAGIAN WARISAN BAGI MASYARAKAT SUKU KARO YANG BERAGAMA ISLAM (Studi di Desa Gurusinga Kecamatan Berastagi Kabupaten Karo),"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
Analisis Hukum Pembebanan Biaya Parkir Terhadap Konsumen Layanan Pesan Antar Makanan Di Aplikasi Online,"Dr.Ida Nadirah,S.H.,M.H"
Analisis Hukum Pemberian Fasilitas Kredit Dengan Jaminan Polis Asuransi Pada PT Asuransi Jiwasraya Medan,"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
ANALISIS HUKUM PENERAPAN ASAS KESEIMBANGAN PADA KLAUSULA PERJANJIAN PEMBIAYAAN KONSUMEN,"Nurhilmiyah,S.H.,M.Hum"
ANALISIS HUKUM PENERAPAN KEBEBASAN BERKONTRAK DALAM PERJANJIAN JUAL BELI MELALUI E-COMMERCE DENGAN SMART CONTRACT,"Nurhilmiyah,S.H.,M.Hum"
ANALISIS HUKUM PENERAPAN SISTEM ZONASI BAGI PENERIMAAN PESERTA DIDIK BARU (PPDB) TINGKAT SEKOLAH MENENGAH ATAS DALAM PERSPEKTIF HAK ASASI MANUSIA (Studi pada Cabang Dinas Pendidikan Provinsi Sumatera Utara Medan Selatan),"Burhanuddin, S.H.,M.H"
ANALISIS HUKUM PENGAMBILALIHAN DATA INFORMASI DARI PERANGKAT NASABAH ATAS PEMANFAATAN FITUR PAYLATER (Studi Kebijakan Privasi Pada Aplikasi Atome),"Erwin Asmadi ,S.H.,M.H"
Analisis Hukum Pengangkatan Anak Tanpa Identitas (Studi di Yayasan 212 Dua Rumah Asuhan Bayi dan Balita Ashabul Kahfi),"Faisal,S.H.,M.H"
ANALISIS HUKUM PENGANIAYAAN YANG DILAKUKAN OLEH POLISI TERHADAP SAKSI YANG MENYAKSIKAN TINDAK PIDANA PEMBUNUHAN (Studi Kasus di Polda Sumut),"Muhammad Nasir Sitompul,S.H.,M.H"
Analisis Hukum Penggunaan Hak Cipta Atas Konten Youtube Sebagai Jaminan Fidusia Menurut Peraturan Pemerintah Nomor 24 Tahun 2022 Tentang Ekonomi Kreatif,"Andryan,S.H.,M.H"
Analisis Hukum Penjatuhan Pidana Mati Terhadap Pelaku Peredaran Narkotika Perspektif Hak Asasi Manusia (Analisis Putusan No. 1991/Pid.Sus/2019/Pn.Mdn),"dr.Guntur Rambey,S.H.,MH"
Analisis Hukum Penjatuhan Sanksi Uang Pengganti Terhadap Korporasi Dalam Tindak Pidana Korupsi (Putusan Nomor 3Pid.Sus-TPK2018PT.DKI),"Dr.Surya Perdana,S.H.,M.Hum"
ANALISIS HUKUM PENOLAKAN WARGA REMPANG TERHADAP RELOKASI PEMUKIMAN PERUNTUKAN PEMBANGUNAN PROYEK STRATEGIS NASIONAL REMPANG ECO CITY,"Dr.R.Juli Moertiono,S.H.,M.Kn.,M.H."
Analisis Hukum Perdata Perubahan Dan Penambahan Nama Pada Seseorang,"Dr.Surya Perdana,S.H.,M.Hum"
Analisis Hukum Perdata Terhadap Pembatalan Keberangkatan Jama’ah Umrah Oleh Travel (Studi Di PT. Sabrina Alfikri Tour & Travel),"Zainuddin, S.H., M.H"
ANALISIS HUKUM PERJANJIAN GADAI EMAS DI BANK SYARIAH (Studi Pada PT. Bank Syariah Indonesia Kantor Cabang Kutacane),"Dr.M. Syukran Yamin Lubis, S.H.,M.H"
Analisis Hukum Perjanjian Gadai Tanah Adat Di Kenagarian Durian Tinggi Perspektif Hukum Perdata,"Atikah, SH., M.H"
"ANALISIS HUKUM PERJANJIAN JASA PENITIPAN HEWAN TERNAK (Studi Kasus Desa Bintang Bayu, Serdang Bedagai)","Dr.Faisal,S.H.,M.Hum"
"ANALISIS HUKUM PERJANJIAN JASA PENITIPAN HEWAN TERNAK (Studi Kasus Desa Bintang Bayu, Serdang Bedagai)","Rahmat Ramadhani,S.H.,M.H"
